cust_id,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,lninc,custcat,churn
C00124,R2,13,44,Y,9,64,E4,5,N,N,2,N,N,Y,N,3.7,0,0,7.5,0,37.45,0,0,110,0,N,N,N,N,N,N,Y,N,N,1.308,4.159,C1,Y
C00125,R3,68,52,Y,24,116,E1,29,N,Y,2,Y,N,Y,N,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,N,N,N,N,Y,Y,N,Y,N,2.899,4.754,C3,N
C00126,R2,23,30,Y,9,30,E1,2,N,N,4,N,N,N,N,6.3,0,0,0,0,157.05,0,0,0,0,N,N,N,N,Y,N,Y,Y,N,1.841,3.401,C3,N
C00127,R3,45,22,Y,2,19,E2,4,N,Y,5,N,N,Y,N,10.9,0,0,8.75,0,504.5,0,0,415,0,Y,N,N,Y,N,Y,N,N,Y,2.389,2.944,C2,Y
C00128,R3,45,59,Y,7,166,E4,31,N,N,5,Y,N,Y,N,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,Y,N,N,N,Y,Y,Y,Y,N,2.277,5.112,C3,N
C00129,R2,5,33,N,10,125,E4,5,N,Y,1,N,Y,N,N,4.85,0,26.15,0,0,17.25,0,110.1,0,0,N,N,Y,Y,N,N,N,N,Y,1.579,4.828,C1,Y
C00130,R1,41,38,Y,8,37,E2,9,N,Y,3,N,N,Y,N,8.55,0,0,41.75,0,308.7,0,0,1650,0,N,N,N,N,N,N,N,N,N,2.146,3.611,C1,N
C00131,R2,9,46,N,3,25,E1,8,N,Y,2,N,N,N,N,4.4,0,0,0,0,36.8,0,0,0,0,N,N,N,N,N,N,N,N,N,1.482,3.219,C1,N
C00132,R3,60,57,N,38,162,E2,30,N,N,1,Y,Y,Y,N,16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,Y,N,N,N,Y,Y,Y,Y,N,2.782,5.088,C3,N
C00133,R2,1,24,N,3,20,E1,3,N,N,1,N,N,N,N,1.05,0,0,0,0,1.05,0,0,0,0,N,N,N,N,N,N,N,N,N,0.049,2.996,C1,N
C00134,R3,6,30,N,7,16,E3,1,N,Y,1,N,Y,N,Y,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,Y,N,Y,Y,N,Y,N,N,N,1.322,2.773,C2,Y
C00135,R3,53,33,N,10,101,E5,4,N,Y,2,N,Y,Y,Y,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,Y,Y,N,Y,N,Y,Y,Y,Y,1.668,4.615,C4,N
